Index,Score,Rolling avg score
1,0.255,0.255
2,0.557,0.406
3,0.891,0.568
4,0.888,0.648
5,0.797,0.678
6,0.829,0.703
7,0.834,0.722
8,1.065,0.765
9,0.737,0.762
10,0.905,0.776
11,0.797,0.778
12,0.714,0.773
13,0.864,0.780
14,0.793,0.781
15,0.823,0.784
16,0.858,0.788
17,1.088,0.806
18,1.151,0.825
19,0.927,0.830
20,0.908,0.834
21,0.667,0.826
22,1.085,0.838
23,0.872,0.840
24,0.813,0.839
25,0.883,0.840
26,0.766,0.837
27,0.588,0.828
28,1.121,0.839
29,1.104,0.848
30,1.150,0.858
31,1.211,0.869
32,0.923,0.871
33,1.081,0.877
34,1.215,0.887
35,0.877,0.887
36,0.880,0.887
37,1.069,0.892
38,0.558,0.883
39,1.026,0.887
40,1.016,0.890
41,0.922,0.891
42,0.870,0.890
43,0.832,0.889
44,0.607,0.882
45,0.439,0.873
46,1.234,0.881
47,0.985,0.883
48,1.072,0.887
49,0.945,0.888
50,0.611,0.882
51,0.700,0.879
52,0.581,0.873
53,0.901,0.874
54,1.041,0.877
55,0.969,0.878
56,0.908,0.879
57,0.729,0.876
58,0.791,0.875
59,1.136,0.879
60,0.913,0.880
61,0.698,0.877
62,1.299,0.884
63,0.969,0.885
64,1.230,0.890
65,1.178,0.895
66,1.035,0.897
67,0.940,0.898
68,0.940,0.898
69,0.928,0.899
70,0.607,0.895
71,1.027,0.896
72,0.955,0.897
73,1.104,0.900
74,1.144,0.903
75,1.248,0.908
76,0.982,0.909
77,1.221,0.913
78,1.267,0.918
79,1.042,0.919
80,1.379,0.925
81,1.321,0.930
82,1.208,0.933
83,1.288,0.937
84,1.147,0.940
85,1.103,0.942
86,1.380,0.947
87,1.513,0.953
88,1.475,0.959
89,1.198,0.962
90,0.958,0.962
91,0.862,0.961
92,1.180,0.963
93,1.276,0.967
94,1.498,0.972
95,1.142,0.974
96,1.390,0.978
97,1.541,0.984
98,1.084,0.985
99,1.392,0.989
100,1.480,0.994
101,1.262,1.004
102,1.421,1.013
103,1.501,1.019
104,1.737,1.028
105,2.001,1.040
106,2.036,1.052
107,2.518,1.069
108,1.360,1.071
109,1.841,1.083
110,2.437,1.098
111,2.693,1.117
112,2.447,1.134
113,1.931,1.145
114,1.841,1.155
115,1.443,1.161
116,2.139,1.174
117,2.830,1.192
118,2.820,1.208
119,2.720,1.226
120,2.615,1.243
121,1.905,1.256
122,2.513,1.270
123,2.733,1.289
124,2.336,1.304
125,2.851,1.324
126,3.106,1.347
127,2.624,1.367
128,2.822,1.384
129,2.927,1.403
130,3.566,1.427
131,3.926,1.454
132,3.478,1.479
133,3.418,1.503
134,3.272,1.523
135,3.281,1.547
136,3.611,1.575
137,2.720,1.591
138,3.398,1.620
139,3.027,1.640
140,3.974,1.669
141,3.097,1.691
142,3.676,1.719
143,3.340,1.744
144,3.890,1.777
145,2.935,1.802
146,3.855,1.828
147,4.244,1.861
148,3.438,1.884
149,5.230,1.927
150,4.883,1.970
151,5.092,2.014
152,5.612,2.064
153,6.097,2.116
154,5.010,2.156
155,5.015,2.196
156,5.165,2.239
157,4.031,2.272
158,3.309,2.297
159,3.863,2.324
160,5.382,2.369
161,5.850,2.420
162,5.844,2.466
163,5.550,2.512
164,5.214,2.552
165,4.998,2.590
166,6.382,2.643
167,4.771,2.682
168,3.773,2.710
169,5.954,2.760
170,8.838,2.842
171,6.891,2.901
172,5.741,2.949
173,6.060,2.998
174,6.613,3.053
175,5.448,3.095
176,5.863,3.144
177,6.019,3.192
178,6.438,3.244
179,7.903,3.312
180,11.362,3.412
181,8.387,3.483
182,6.186,3.533
183,8.264,3.602
184,7.836,3.669
185,6.273,3.721
186,8.264,3.790
187,8.161,3.856
188,11.377,3.955
189,10.760,4.051
190,10.443,4.146
191,11.067,4.248
192,11.398,4.350
193,10.795,4.445
194,15.806,4.588
195,17.538,4.752
196,14.750,4.886
197,17.104,5.041
198,16.602,5.197
199,15.340,5.336
200,17.357,5.495
201,16.443,5.647
202,18.646,5.819
203,15.430,5.958
204,18.056,6.121
205,17.655,6.278
206,19.046,6.448
207,15.738,6.580
208,16.389,6.731
209,13.211,6.844
210,19.945,7.019
211,22.773,7.220
212,18.855,7.384
213,17.008,7.535
214,20.316,7.720
215,22.611,7.931
216,19.144,8.101
217,24.654,8.320
218,25.552,8.547
219,23.691,8.757
220,21.904,8.950
221,24.979,9.180
222,27.194,9.427
223,27.327,9.673
224,23.404,9.884
225,23.324,10.088
226,24.815,10.306
227,25.794,10.537
228,25.835,10.767
229,26.510,11.003
230,27.400,11.242
231,25.499,11.457
232,26.539,11.688
233,29.371,11.947
234,29.182,12.207
235,28.163,12.455
236,32.528,12.745
237,31.313,13.030
238,31.066,13.307
239,30.901,13.586
240,28.852,13.835
241,29.125,14.095
242,30.771,14.366
243,31.323,14.646
244,33.330,14.940
245,33.247,15.243
246,33.478,15.539
247,30.838,15.805
248,29.563,16.067
249,30.755,16.322
250,31.424,16.587
251,33.123,16.868
252,32.065,17.132
253,31.804,17.389
254,29.868,17.638
255,31.037,17.898
256,31.825,18.165
257,32.732,18.452
258,32.839,18.747
259,33.526,19.044
260,32.755,19.317
261,34.309,19.602
262,34.502,19.888
263,31.498,20.148
264,34.996,20.446
265,35.491,20.751
266,34.073,21.028
267,35.995,21.340
268,37.647,21.679
269,36.082,21.980
270,34.583,22.237
271,37.466,22.543
272,36.329,22.849
273,36.610,23.154
274,34.286,23.431
275,34.850,23.725
276,34.144,24.008
277,35.885,24.307
278,35.796,24.600
279,35.493,24.876
280,34.488,25.107
281,34.441,25.368
282,34.369,25.650
283,36.547,25.933
284,35.000,26.204
285,34.841,26.490
286,34.797,26.755
287,34.316,27.017
288,35.457,27.258
289,37.165,27.522
290,34.619,27.763
291,36.569,28.019
292,34.842,28.253
293,35.930,28.504
294,36.028,28.707
295,35.972,28.891
296,34.503,29.088
297,36.599,29.283
298,35.336,29.471
299,35.896,29.676
300,36.460,29.867
301,34.621,30.049
302,35.706,30.220
303,31.980,30.385
304,33.891,30.544
305,33.769,30.705
306,28.860,30.803
307,34.185,30.987
308,34.666,31.170
309,30.562,31.344
310,33.255,31.477
311,32.821,31.577
312,32.712,31.716
313,35.072,31.896
314,31.254,32.006
315,35.680,32.136
316,34.630,32.291
317,37.285,32.418
318,33.159,32.494
319,34.188,32.599
320,34.227,32.722
321,34.929,32.821
322,35.391,32.903
323,35.942,32.989
324,30.380,33.059
325,32.109,33.147
326,33.012,33.229
327,35.462,33.326
328,37.946,33.447
329,38.659,33.568
330,38.424,33.679
331,38.349,33.807
332,37.670,33.918
333,37.955,34.004
334,37.361,34.086
335,37.504,34.179
336,33.529,34.189
337,37.983,34.256
338,38.128,34.327
339,37.546,34.393
340,39.021,34.495
341,37.165,34.575
342,35.039,34.618
343,38.353,34.688
344,33.488,34.690
345,30.134,34.659
346,33.402,34.658
347,35.249,34.702
348,30.501,34.711
349,32.437,34.728
350,31.490,34.729
351,33.362,34.731
352,34.955,34.760
353,32.854,34.771
354,33.971,34.812
355,33.485,34.836
356,36.176,34.880
357,38.806,34.940
358,36.567,34.978
359,37.993,35.022
360,35.875,35.054
361,38.083,35.091
362,37.206,35.118
363,36.782,35.171
364,38.968,35.211
365,38.732,35.243
366,37.384,35.276
367,37.402,35.291
368,34.587,35.260
369,37.101,35.270
370,33.270,35.257
371,23.447,35.117
372,35.610,35.110
373,36.671,35.110
374,38.388,35.151
375,38.049,35.183
376,37.868,35.220
377,37.823,35.240
378,38.496,35.267
379,37.791,35.290
380,36.331,35.308
381,31.522,35.279
382,35.979,35.295
383,38.814,35.318
384,39.286,35.361
385,38.595,35.398
386,38.636,35.437
387,38.185,35.475
388,37.887,35.500
389,35.527,35.483
390,35.707,35.494
391,31.770,35.446
392,21.932,35.317
393,30.397,35.262
394,35.988,35.261
395,33.864,35.240
396,32.312,35.218
397,33.615,35.188
398,36.540,35.201
399,35.691,35.198
400,36.911,35.203
401,38.422,35.241
402,37.459,35.259
403,34.852,35.287
404,37.555,35.324
405,39.134,35.378
406,37.170,35.461
407,37.475,35.494
408,33.998,35.487
409,32.304,35.504
410,31.072,35.482
411,31.070,35.465
412,28.632,35.424
413,26.504,35.338
414,31.172,35.338
415,30.742,35.288
416,35.339,35.295
417,32.701,35.249
418,35.019,35.268
419,31.390,35.240
420,34.024,35.238
421,32.681,35.216
422,29.672,35.158
423,26.150,35.060
424,31.432,35.071
425,35.195,35.102
426,31.100,35.083
427,28.352,35.012
428,22.092,34.853
429,31.194,34.778
430,37.223,34.766
431,35.222,34.735
432,35.505,34.714
433,37.521,34.709
434,38.275,34.718
435,38.225,34.726
436,34.637,34.737
437,36.467,34.721
438,37.575,34.716
439,36.835,34.709
440,33.091,34.650
441,38.401,34.662
442,35.318,34.665
443,35.266,34.634
444,30.543,34.604
445,36.584,34.669
446,37.427,34.709
447,33.967,34.696
448,29.826,34.690
449,33.840,34.704
450,34.788,34.737
451,34.730,34.750
452,37.486,34.776
453,35.277,34.800
454,22.649,34.687
455,26.007,34.612
456,33.057,34.581
457,34.716,34.540
458,37.597,34.550
459,34.458,34.515
460,34.278,34.499
461,38.127,34.499
462,38.166,34.509
463,34.080,34.482
464,35.609,34.448
465,37.801,34.439
466,35.511,34.420
467,34.516,34.391
468,35.172,34.397
469,37.417,34.400
470,35.159,34.419
471,35.740,34.542
472,37.832,34.564
473,38.130,34.579
474,37.012,34.565
475,36.553,34.550
476,37.981,34.551
477,33.623,34.509
478,36.566,34.490
479,37.171,34.484
480,34.754,34.468
481,32.648,34.479
482,34.149,34.461
483,26.617,34.339
484,27.736,34.223
485,33.841,34.176
486,27.484,34.064
487,38.477,34.067
488,37.249,34.061
489,38.699,34.093
490,34.727,34.083
