Index,Score,Rolling avg score
1,0.750,0.750
2,0.850,0.800
3,1.160,0.920
4,0.490,0.812
5,0.000,0.650
6,0.080,0.555
7,0.000,0.476
8,0.000,0.416
9,0.250,0.398
10,0.240,0.382
11,0.030,0.350
12,0.000,0.321
13,0.000,0.296
14,1.050,0.350
15,0.620,0.368
16,1.420,0.434
17,0.290,0.425
18,0.920,0.453
19,0.720,0.467
20,1.570,0.522
21,0.760,0.533
22,0.800,0.545
23,0.320,0.536
24,0.720,0.543
25,0.200,0.530
26,0.560,0.531
27,0.650,0.535
28,0.000,0.516
29,1.200,0.540
30,0.570,0.541
31,1.490,0.571
32,0.530,0.570
33,0.590,0.571
34,0.150,0.558
35,0.320,0.551
36,1.050,0.565
37,2.620,0.621
38,1.190,0.636
39,0.890,0.642
40,0.440,0.637
41,0.810,0.641
42,0.140,0.630
43,0.630,0.630
44,1.900,0.658
45,0.340,0.651
46,1.300,0.665
47,0.780,0.668
48,1.350,0.682
49,0.890,0.686
50,0.520,0.683
51,1.420,0.697
52,0.990,0.703
53,0.310,0.696
54,0.430,0.691
55,0.640,0.690
56,1.270,0.700
57,2.760,0.736
58,0.600,0.734
59,1.090,0.740
60,2.110,0.763
61,1.580,0.776
62,1.640,0.790
63,0.390,0.784
64,0.180,0.774
65,1.000,0.778
66,1.460,0.788
67,3.810,0.833
68,1.250,0.839
69,1.990,0.856
70,0.690,0.854
71,1.660,0.865
72,1.050,0.868
73,2.880,0.895
74,1.300,0.901
75,1.200,0.905
76,1.360,0.911
77,0.950,0.911
78,0.990,0.912
79,1.750,0.923
80,1.180,0.926
81,2.080,0.940
82,2.370,0.958
83,1.970,0.970
84,1.900,0.981
85,0.000,0.969
86,0.960,0.969
87,0.880,0.968
88,1.720,0.977
89,0.480,0.971
90,0.000,0.960
91,0.520,0.956
92,2.640,0.974
93,1.320,0.978
94,0.590,0.974
95,1.020,0.974
96,1.600,0.981
97,1.350,0.984
98,1.950,0.994
99,1.060,0.995
100,1.650,1.001
101,1.080,1.005
102,0.540,1.002
103,1.150,1.001
104,0.910,1.006
105,1.200,1.018
106,0.580,1.023
107,2.770,1.050
108,1.550,1.066
109,1.970,1.083
110,0.680,1.087
111,1.430,1.101
112,1.220,1.114
113,2.280,1.136
114,2.540,1.151
115,1.800,1.163
116,1.460,1.164
117,2.270,1.183
118,3.520,1.209
119,0.570,1.208
120,2.630,1.218
121,2.560,1.236
122,0.510,1.234
123,0.880,1.239
124,3.460,1.267
125,4.500,1.310
126,5.790,1.362
127,3.980,1.395
128,4.100,1.436
129,4.080,1.465
130,3.900,1.498
131,4.550,1.529
132,3.740,1.561
133,2.820,1.583
134,1.680,1.599
135,3.860,1.634
136,1.850,1.642
137,4.380,1.660
138,2.860,1.676
139,1.990,1.687
140,1.570,1.699
141,2.500,1.715
142,1.290,1.727
143,2.430,1.745
144,3.300,1.759
145,1.790,1.773
146,4.840,1.809
147,1.940,1.820
